QueryId,Query
Q0001,Do you charge late fee on delayed premium?
Q0002,I need maturity claim requirements.
Q0003,What is single premium policy?
Q0004,Can I change nomination through will?
Q0005,I want to check my Premium due date?
Q0006,What is the minimum amount of loan can be repaid?
Q0007,What do you mean by non-standard age proof?
Q0008,When is my next premium due?
Q0009,Premium which i pay is for the period completed or in advance?
Q0010,I want to check my Premium due date?
Q0011,"I am getting monthly disability benefit under the policy, whether i will get loan under the policy?"
Q0012,"I paid the premium twice by mistake, what should I do now?"
Q0013,Whether any subsidy is available for repaying the loan from Govt of India?
Q0014,"What benefit I will get , if I pay the loan proportionately?"
Q0015,How can I pay the premium in online mode or through portal payment?
Q0016,"My policy money has not been credited to my account, where should I contact?"
Q0017,"I have fully repaid my outstanding loan, still I have not received my policy document back to me. What I should do"
Q0018,Can trust or Institute become nominee for life insurance policy?
Q0019,Whether I will be required to give the reason for which purpose I am taking the loan under the policy?
Q0020,I have taken loan under the policy and I wish to transfer the policy to another Branch.
Q0021,Can I submit Cancelled cheque with NEFT form?
Q0022,Where can I get pannel doctor address?
Q0023,Is there limit to premium amount payable through credit card ?
Q0024,Where can I get the death claim form?
Q0025,Compare products
Q0026,Whether intimation about mandate acceptance/rejection is given to customer?
Q0027,"If i pay the premium in advance , whether i will get any incentive or rebate as early bird?"
Q0028,How much time is taken for the registration through bill pay?
Q0029,At what age should I purchase a Life Insurance Policy?
Q0030,"If premium is paid after 6 month, what is rate of interest charged for calculation of late fee?"
Q0031,How I can pay premium in offline mode?
Q0032,Why revival of policy is required?
Q0033,"If premiums are in arrears, can i pay the premium partly?"
Q0034,I want to check outstanding loan.
Q0035,Bonus declared for 2018-19?
Q0036,Whether assignment can be done in favour of minor?
Q0037,How to do re-assignment?
Q0038,"After taking loan, whether nomination under the policy will get cancelled?"
Q0039,I want to change my address in my policy.
Q0040,Are there separate charges for NEFT registration?
Q0041,Can I get the E-services in my mobile?
Q0042,Why I should do assignment?
Q0043,What is date of commencement.
Q0044,What is GSV?
Q0045,My assignment application is declined.
Q0046,What is the procedure of assigning a policy?
Q0047,"If i do not pay the premium, whether my agent will get the commission?"
Q0048,What is premium schedule?
Q0049,What is difference between assignment and nomination?
Q0050,Whether revival of lapsed policy allowed in E-services ?
Q0051,How to revive my policy?
Q0052,Can you quote the procedure for cancellation of nomination?
Q0053,How will nomination help us?
Q0054,Whether I can get the revival requirement through SMS?
Q0055,When can I pay the insurance premiums?
Q0056,What is the benefit of taking single premium policy?
Q0057,Whether assignee under the policy can raise the loan?
Q0058,Whether single premium mode is allowed?
Q0059,Can I reduce premium paying term of my policy?
Q0060,Whether LIC agents are authorised to collect the premium and issue receipts?
Q0061,"Under online loan, whether i will be required to visit servicing branch office for getting the loan?"
Q0062,Can loan be repaid online?
Q0063,Whether installment premium stated in policy document is inclusive of GST?
Q0064,"Please quote days of grace allowed for term insurance products under yearly, half- yearly, or quarterly mode of payment?"
Q0065,Maturity claim forms.
Q0066,I have confirmed that my mobile number is correct but still I am not getting the SMS alert.
Q0067,"For One lakh sum assured policy, How much loan will I get?"
Q0068,Will you increase my policy premium as I age?
Q0069,Can I know my balance loan amount?
Q0070,Whether GST is applicable on loan amount?
Q0071,What is NACH?
Q0072,How the loan will be settled under online loan facility?
Q0073,What are the facilities available for repayment of loan?
Q0074,Why am i not able to make payment online?
Q0075,How I have to assign the policy for taking loan under the policy?
Q0076,Whether LIC send any intimation before compulsory closure of the policy?
Q0077,Tell me the difference between fund switch and fund redirection.
Q0078,Whether LIC send any notice for paying loan interest during the policy term?
Q0079,What is benefit of NEFT?
Q0080,Which type of polices can be assigned?
Q0081,What is the difference in Profit/without profit plans?
Q0082,Tell me about standard age proof.
Q0083,Can you explain the meaning of FUP by example?
Q0084,Alternate premium payment options.
Q0085,Whether conditionally assigned policy can be surrendered by policyholder?
Q0086,Can I use loan amount to purchase new policy?
Q0087,Who can register with the authorised banks?
Q0088,Can you please explain me difference between multiple and successive nomination?
Q0089,What are the standard age proof which are accepted while taking new policy?
Q0090,Do you require any documents as proof of ID for Nominee?
Q0091,What happens when payment is done twice under a policy through EBPP and other mode?
Q0092,In which cities do the authorised service providers operate from?
Q0093,How long nomination is valid?
Q0094,"After taking loan whether supplementary benefits like accident benefit, rider sum assured will get reduced?"
Q0095,Please quote me rate of interest charged for collecting late fee.
Q0096,Maximum age limit for effecting alteration in a policy.
Q0097,What is meant by conditional assignment?
Q0098,How can I calculate my premium?
Q0099,Who can nominate?
Q0100,Which policies are eligible for payment of premium through online?
Q0101,Can the sum assured be increased?
Q0102,Can I do nomination online?
Q0103,How can I register for Premier services ?
Q0104,What is alteration fees in a policy ?
Q0105,Does revival cancels earlier nomination?
Q0106,My outstanding premiums are due for more than 6 months. Can I pay one or two premiums?
Q0107,Where can I surrender my policy?
Q0108,Whether any charges are required to be paid for registering the assignment?
Q0109,What happens if person I have nominated dies before me?
Q0110,Can i print a copy of the proposal form i gave for taking the policy ?
Q0111,When will the premium be debited from customers account in case of NACH?
Q0112,"Under online loan facility, if i have to go your LIC branch, then how it will be treated as online loan?"
Q0113,Why the premium increases as the age increases?
Q0114,I have not received the e-receipt of my payment.
Q0115,How to lodge complaint?
Q0116,Charges for medical reports.
Q0117,Can you give one example on date of commencement and date of risk?
Q0118,Does nominee has right to raise Loan on policy?
Q0119,How I can confirm that my policy can be assigned?
Q0120,I want to know about multiple nomination.
Q0121,"My policy is matured, but I have not taken the amount of maturity claim. Whether I will get loan under the policy?"
Q0122,Within how many years I can revive my policy from last premium paid ?
Q0123,How can i reset my password?
Q0124,Special Revival Campaign
Q0125,Whether I can assign the policy for raising housing loan?
Q0126,Where can I get NEFT form?
Q0127,Is there any convenience charge for online transaction?
Q0128,Are children allowed as nominee?
Q0129,What are the death claim requirements?
Q0130,What are the death claim requirements?
Q0131,What is DGH?
Q0132,What is meant by assignee and assignor?
Q0133,Whether there are charges for payment through credit cards ?
Q0134,How can I pay the premium via ATM?
Q0135,"I am having a deferred annuity policy, If I make nomination now?"
Q0136,What are the grounds on which registration of assignment can be rejected by LIC?
Q0137,Can i include the policies of my spouse and children under my user-id for E-services ?
Q0138,How much loan I will get on my policy?
Q0139,When do I get my insurance amount?
Q0140,"If last day of grace period happens to be Sunday or holiday, then whether I have to pay penal interest?"
Q0141,"Agent is not giving me any service, hence i do not want to pay the premium."
Q0142,How many days of grace are allowed for monthly mode of payment?
Q0143,I want to know about all lic plans
Q0144,I want to know NAV for my plan.
Q0145,I have lost my original policy document. Whether I will be eligible to get loan?
Q0146,Who can be assignee?
Q0147,Where I can revive my policy?
